ID,Device,Modelsize,Commrate,Commtime
1,MacBookPro2018,12352000,80000000,0.1544
2,MacBookPro2018,12352000,40000000,0.3088
3,MacBookPro2018,12352000,20000000,0.6176
4,MacBookPro2018,12352000,15000000,0.823466667
5,Xavier,12352000,80000000,0.1544
6,Xavier,12352000,40000000,0.3088
7,Xavier,12352000,20000000,0.6176
8,Xavier,12352000,15000000,0.823466667
9,TX2,12352000,80000000,0.1544
10,TX2,12352000,40000000,0.3088
11,TX2,12352000,20000000,0.6176
12,TX2,12352000,15000000,0.823466667
13,Nano,12352000,80000000,0.1544
14,Nano,12352000,40000000,0.3088
15,Nano,12352000,20000000,0.6176
16,Nano,12352000,15000000,0.823466667
17,ResberryPi,12352000,80000000,0.1544
18,ResberryPi,12352000,40000000,0.3088
19,ResberryPi,12352000,20000000,0.6176
20,ResberryPi,12352000,15000000,0.823466667
