Device,Modelrate,Traintime
MacBookPro2018,1,0.0083647
MacBookPro2018,0.5,0.0038257
MacBookPro2018,0.25,0.0021069
MacBookPro2018,0.125,0.0014589
MacBookPro2018,0.0625,0.0009867
Xavier,1,0.04070369
Xavier,0.5,0.0127832
Xavier,0.25,0.0057802
Xavier,0.125,0.003491786
Xavier,0.0625,0.002557199
TX2,1,0.046046102
TX2,0.5,0.014587217
TX2,0.25,0.006172761
TX2,0.125,0.003529953
TX2,0.0625,0.002453266
Nano,1,0.048899315
Nano,0.5,0.015707265
Nano,0.25,0.006548797
Nano,0.125,0.003732
Nano,0.0625,0.002509417
ResberryPi,1,0.051820623
ResberryPi,0.5,0.016849187
ResberryPi,0.25,0.006933952
ResberryPi,0.125,0.003939243
ResberryPi,0.0625,0.002569063
